,,,,,,,,,,,,,
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,
,,,,,,,,,,,,,
work_partof,Biomedical Engineering,Chemical Engineering,Civil Engineering,Computer Engineering,Electrical Engineering,Environmental Engineering,Geological Engineering,Management Engineering,Mechanical Engineering,Mechatronics Engineering,Nanotechnology Engineering,Software Engineering,Systems Design Engineering 
Focused ,18,11,13,16,15,5,3,19,24,45,15,70,2
Multidisciplinary ,35,45,36,23,17,15,5,80,58,106,44,63,43
,53,56,49,39,32,20,8,99,82,151,59,133,45
,,,,,,,,,,,,,
work_partof,Biomedical Engineering,Chemical Engineering,Civil Engineering,Computer Engineering,Electrical Engineering,Environmental Engineering,Geological Engineering,Management Engineering,Mechanical Engineering,Mechatronics Engineering,Nanotechnology Engineering,Software Engineering,Systems Design Engineering 
Focused ,0.339622642,0.196428571,0.265306122,0.41025641,0.46875,0.25,0.375,0.191919192,0.292682927,0.298013245,0.254237288,0.526315789,0.044444444
Multidisciplinary ,0.660377358,0.803571429,0.734693878,0.58974359,0.53125,0.75,0.625,0.808080808,0.707317073,0.701986755,0.745762712,0.473684211,0.955555556
,,,,,,,,,,,,,
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,
,,,,,,,,,,,,,
work_partof,Biomedical Engineering,Chemical Engineering,Civil Engineering,Computer Engineering,Electrical Engineering,Environmental Engineering,Geological Engineering,Management Engineering,Mechanical Engineering,Mechatronics Engineering,Nanotechnology Engineering,Software Engineering,Systems Design Engineering 
Continuously change,25,14,9,17,10,8,1,51,29,54,24,63,26
Know all,28,42,40,22,22,12,7,48,53,97,35,70,19
,53,56,49,39,32,20,8,99,82,151,59,133,45
,,,,,,,,,,,,,
work_partof,Biomedical Engineering,Chemical Engineering,Civil Engineering,Computer Engineering,Electrical Engineering,Environmental Engineering,Geological Engineering,Management Engineering,Mechanical Engineering,Mechatronics Engineering,Nanotechnology Engineering,Software Engineering,Systems Design Engineering 
Continuously change,0.471698113,0.25,0.183673469,0.435897436,0.3125,0.4,0.125,0.515151515,0.353658537,0.357615894,0.406779661,0.473684211,0.577777778
Know all,0.528301887,0.75,0.816326531,0.564102564,0.6875,0.6,0.875,0.484848485,0.646341463,0.642384106,0.593220339,0.526315789,0.422222222
,,,,,,,,,,,,,
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,
,,,,,,,,,,,,,
care most,Biomedical Engineering,Chemical Engineering,Civil Engineering,Computer Engineering,Electrical Engineering,Environmental Engineering,Geological Engineering,Management Engineering,Mechanical Engineering,Mechatronics Engineering,Nanotechnology Engineering,Software Engineering,Systems Design Engineering 
tech,1,4,5,21,9,1,0,26,15,54,9,53,9
Env,0,26,19,6,10,16,6,14,36,44,18,21,12
health ,49,23,16,5,7,1,1,28,21,41,28,37,14
Human Rights,3,3,9,7,6,2,1,31,10,12,4,22,10
,,,,,,,,,,,,,
